continent,country,state,date_accessed,source_url
global,world,,20251207000000,https://www.churchofjesuschrist.org/learn/facts-statistics?lang=eng
north america,antigua and barbuda,-,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/antigua-and-barbuda
north america,aruba,-,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/aruba
north america,bahamas,-,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/bahamas
north america,barbados,-,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/barbados
north america,belize,-,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/belize
north america,canada,alberta,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/alberta
north america,canada,british columbia,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/british-columbia
north america,canada,manitoba,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/manitoba
north america,canada,new brunswick,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/new-brunswick
north america,canada,newfoundland,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/newfoundland
north america,canada,northwest territories,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/northwest-territories
north america,canada,nova scotia,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/nova-scotia
north america,canada,ontario,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/ontario
north america,canada,prince edward island,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/prince-edward-island
north america,canada,quebec,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/quebec
north america,canada,saskatchewan,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/saskatchewan
north america,canada,yukon,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/yukon
north america,canada,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/canada
north america,cayman islands,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/cayman-islands
north america,costa rica,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/costa-rica
north america,curacao,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/curacao
north america,dominica,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/dominica
north america,dominican republic,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/dominican-republic
north america,el salvador,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/el-salvador
north america,grenada,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/grenada
north america,guadeloupe,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/guadeloupe
north america,guatemala,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/guatemala
north america,haiti,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/haiti
north america,honduras,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/honduras
north america,jamaica,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/jamaica
north america,martinique,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/martinique
north america,méxico,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/mexico
north america,nicaragua,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/nicaragua
north america,panama,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/panama
north america,puerto rico,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/puerto-rico
north america,saint kitts and nevis,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/saint-kitts-and-nevis
north america,saint lucia,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/saint-lucia
north america,saint vincent and the grenadines,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/saint-vincent-and-the-grenadines
north america,sint maarten,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/sint-maarten
north america,trinidad and tobago,,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/country/trinidad-and-tobago
north america,united states,alabama,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/alabama
north america,united states,alaska,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/alaska
north america,united states,arizona,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/arizona
